chapter,bing,n,total,weight,percent
135,positive,113,4576,0.5973715993227795,0.024694055944055944
14,negative,17,761,0.40764725656521944,0.022339027595269383
14,positive,15,761,0.40764725656521944,0.01971090670170828
15,negative,22,1198,0.44325669344073065,0.018363939899833055
15,positive,32,1198,0.44325669344073065,0.02671118530884808
16,negative,165,5547,0.6287616633062136,0.029745808545159545
16,positive,172,5547,0.6287616633062136,0.031007751937984496
17,negative,95,2304,0.507098505557537,0.04123263888888889
17,positive,57,2304,0.507098505557537,0.024739583333333332
18,negative,39,1366,0.4547448765910354,0.02855051244509517
18,positive,38,1366,0.4547448765910354,0.027818448023426062
19,negative,44,1217,0.4446034461587252,0.036154478225143796
19,positive,29,1217,0.4446034461587252,0.0238290879211175
2,negative,61,1452,0.46029510456487266,0.04201101928374656
2,positive,38,1452,0.46029510456487266,0.026170798898071626
20,negative,11,930,0.4226537380137562,0.011827956989247311
20,positive,22,930,0.4226537380137562,0.023655913978494623
21,negative,28,1083,0.43480955492213397,0.02585410895660203
21,positive,27,1083,0.43480955492213397,0.024930747922437674
22,negative,42,1663,0.473127836188139,0.025255562236921228
22,positive,50,1663,0.473127836188139,0.03006614552014432
23,negative,20,371,0.36164900238139147,0.05390835579514825
23,positive,8,371,0.36164900238139147,0.0215633423180593
24,negative,44,1671,0.4735948449176798,0.026331538001196888
24,positive,66,1671,0.4735948449176798,0.03949730700179533
25,negative,4,285,0.3472655026075866,0.014035087719298246
25,positive,12,285,0.3472655026075866,0.042105263157894736
26,negative,57,1231,0.4455875513841206,0.0463038180341186
26,positive,67,1231,0.4455875513841206,0.054427294882209584
27,negative,56,1694,0.4749302118003113,0.03305785123966942
27,positive,57,1694,0.4749302118003113,0.03364817001180637
28,negative,55,1416,0.4579965277964835,0.03884180790960452
28,positive,40,1416,0.4579965277964835,0.02824858757062147
29,negative,37,1215,0.4444622936576874,0.030452674897119343
29,positive,36,1215,0.4444622936576874,0.02962962962962963
3,negative,203,5907,0.6397465788507124,0.03436600643304554
3,positive,145,5907,0.6397465788507124,0.024547147452175386
30,negative,7,294,0.3489014814776697,0.023809523809523808
30,positive,6,294,0.3489014814776697,0.02040816326530612
31,negative,33,865,0.4171063989228937,0.03815028901734104
